location_id,district,city,location_name
1,quận 1,hồ chí minh,"quận 1, hồ chí minh"
2,tân bình,hồ chí minh,"tân bình, hồ chí minh"
3,quận 9,hồ chí minh,"quận 9, hồ chí minh"
4,nam từ liêm,hà nội,"nam từ liêm, hà nội"
5,gia lâm,hà nội,"gia lâm, hà nội"
6,đống đa,hà nội,"đống đa, hà nội"
7,cầu giấy,hà nội,"cầu giấy, hà nội"
8,hai bà trưng,hà nội,"hai bà trưng, hà nội"
9,hoài đức,hà nội,"hoài đức, hà nội"
10,bình thạnh,hồ chí minh,"bình thạnh, hồ chí minh"
11,nhà bè,hồ chí minh,"nhà bè, hồ chí minh"
12,quận 7,hồ chí minh,"quận 7, hồ chí minh"
13,quận 10,hồ chí minh,"quận 10, hồ chí minh"
14,phú nhuận,hồ chí minh,"phú nhuận, hồ chí minh"
15,tây hồ,hà nội,"tây hồ, hà nội"
16,quận 2,hồ chí minh,"quận 2, hồ chí minh"
17,bình tân,hồ chí minh,"bình tân, hồ chí minh"
18,quận 3,hồ chí minh,"quận 3, hồ chí minh"
19,tân uyên,bình dương,"tân uyên, bình dương"
20,hà đông,hà nội,"hà đông, hà nội"
21,quận 4,hồ chí minh,"quận 4, hồ chí minh"
22,hải châu,đà nẵng,"hải châu, đà nẵng"
23,hoàng mai,hà nội,"hoàng mai, hà nội"
24,thủ đức,hồ chí minh,"thủ đức, hồ chí minh"
25,thanh xuân,hà nội,"thanh xuân, hà nội"
26,gò vấp,hồ chí minh,"gò vấp, hồ chí minh"
27,vũng tàu,bà rịa vũng tàu,"vũng tàu, bà rịa vũng tàu"
28,long thành,đồng nai,"long thành, đồng nai"
29,quận 12,hồ chí minh,"quận 12, hồ chí minh"
30,dĩ an,bình dương,"dĩ an, bình dương"
31,quận 8,hồ chí minh,"quận 8, hồ chí minh"
32,tân phú,hồ chí minh,"tân phú, hồ chí minh"
33,quảng yên,quảng ninh,"quảng yên, quảng ninh"
34,bắc từ liêm,hà nội,"bắc từ liêm, hà nội"
35,quận 5,hồ chí minh,"quận 5, hồ chí minh"
36,ba đình,hà nội,"ba đình, hà nội"
37,hoàn kiếm,hà nội,"hoàn kiếm, hà nội"
38,bình chánh,hồ chí minh,"bình chánh, hồ chí minh"
39,quy nhơn,bình định,"quy nhơn, bình định"
40,thuận an,bình dương,"thuận an, bình dương"
41,bà rịa,bà rịa vũng tàu,"bà rịa, bà rịa vũng tàu"
42,long đất,bà rịa vũng tàu,"long đất, bà rịa vũng tàu"
43,thủ dầu một,bình dương,"thủ dầu một, bình dương"
44,phú mỹ,bà rịa vũng tàu,"phú mỹ, bà rịa vũng tàu"
45,văn giang,hưng yên,"văn giang, hưng yên"
46,hóc môn,hồ chí minh,"hóc môn, hồ chí minh"
47,phan thiết,bình thuận,"phan thiết, bình thuận"
48,cái răng,cần thơ,"cái răng, cần thơ"
49,biên hòa,đồng nai,"biên hòa, đồng nai"
50,gò dầu,tây ninh,"gò dầu, tây ninh"
51,long biên,hà nội,"long biên, hà nội"
52,đức hòa,long an,"đức hòa, long an"
53,thanh trì,hà nội,"thanh trì, hà nội"
54,mê linh,hà nội,"mê linh, hà nội"
55,thạch thất,hà nội,"thạch thất, hà nội"
56,ngô quyền,hải phòng,"ngô quyền, hải phòng"
57,nha trang,khánh hòa,"nha trang, khánh hòa"
58,văn lâm,hưng yên,"văn lâm, hưng yên"
59,củ chi,hồ chí minh,"củ chi, hồ chí minh"
60,yên mỹ,hưng yên,"yên mỹ, hưng yên"
61,mỹ hào,hưng yên,"mỹ hào, hưng yên"
62,tây ninh,tây ninh,"tây ninh, tây ninh"
63,bắc giang,bắc giang,"bắc giang, bắc giang"
64,quốc oai,hà nội,"quốc oai, hà nội"
65,đan phượng,hà nội,"đan phượng, hà nội"
66,quận 6,hồ chí minh,"quận 6, hồ chí minh"
67,bến lức,long an,"bến lức, long an"
68,hớn quản,bình phước,"hớn quản, bình phước"
69,đông anh,hà nội,"đông anh, hà nội"
70,an lão,hải phòng,"an lão, hải phòng"
71,lê chân,hải phòng,"lê chân, hải phòng"
72,tiên lãng,hải phòng,"tiên lãng, hải phòng"
73,bến cát,bình dương,"bến cát, bình dương"
74,cẩm lệ,đà nẵng,"cẩm lệ, đà nẵng"
75,long khánh,đồng nai,"long khánh, đồng nai"
76,chơn thành,bình phước,"chơn thành, bình phước"
77,ninh hải,ninh thuận,"ninh hải, ninh thuận"
