property_id,time_id,location_id,type_id,trans_id,area,price_million,price_per_m2,bedrooms_num,bathrooms_num,district,city
42113042,20230101,4,1,2,74.0,75.0,1.014,11,11,nam từ liêm,hà nội
41832339,20230101,38,1,1,156.4,10500.0,67.136,0,0,bình chánh,hồ chí minh
41726002,20230101,39,1,1,60.2,1980.0,32.89,2,1,quy nhơn,bình định
42122194,20230101,245,1,1,311.0,720.0,2.315,0,0,cư kuin,đắk lắk
42140151,20230101,85,1,1,258.0,16990.0,65.853,0,0,sơn trà,đà nẵng
42108321,20230101,265,1,1,240.0,5200.0,21.667,1,2,đồng xoài,bình phước
40528323,20230101,23,1,2,17.0,3.5,0.206,0,0,hoàng mai,hà nội
42143087,20230101,18,1,2,81.0,12.0,0.148,2,2,quận 3,hồ chí minh
41716546,20230101,51,1,1,54.0,3240.0,60.0,2,1,long biên,hà nội
42007946,20230101,39,1,1,46.5,565.0,12.151,1,1,quy nhơn,bình định
42109110,20230101,100,1,1,100.0,2900.0,29.0,0,0,ngũ hành sơn,đà nẵng
42036853,20230101,23,1,1,40.0,6900.0,172.5,6,4,hoàng mai,hà nội
42113582,20230101,29,1,1,75.0,7450.0,99.333,4,6,quận 12,hồ chí minh
41602464,20230101,46,1,1,123.0,8490.0,69.024,4,3,hóc môn,hồ chí minh
42114389,20230101,20,1,1,40.0,12750.0,318.75,0,0,hà đông,hà nội
42111357,20230101,193,1,1,1889.0,85000.0,44.997,0,0,vân đồn,quảng ninh
42141360,20230101,45,1,1,75.0,9100.0,121.333,5,3,văn giang,hưng yên
42032849,20230101,30,1,2,70.0,7.0,0.1,0,0,dĩ an,bình dương
39175137,20230101,205,1,1,4882.0,11500.0,2.356,0,0,lâm hà,lâm đồng
42114898,20230101,20,1,1,65.0,27500.0,423.077,4,4,hà đông,hà nội
42118493,20230101,85,1,1,56.0,4500.0,80.357,3,1,sơn trà,đà nẵng
41179845,20230101,88,1,1,90.0,8880.0,98.667,3,3,hải an,hải phòng
40850992,20230101,242,1,1,8117.0,25000.0,3.08,0,0,thuận nam,ninh thuận
42106219,20230101,85,1,1,113.0,7600.0,67.257,0,0,sơn trà,đà nẵng
42108807,20230101,12,1,1,45.0,5600.0,124.444,2,3,quận 7,hồ chí minh
42099283,20230101,10,1,2,86.0,18.0,0.209,0,0,bình thạnh,hồ chí minh
41757139,20230101,171,1,1,105.0,2400.0,22.857,0,0,dương kinh,hải phòng
42097309,20230101,9,1,2,75.0,6.0,0.08,0,1,hoài đức,hà nội
42116381,20230101,7,1,1,52.0,22600.0,434.615,4,6,cầu giấy,hà nội
41704557,20230101,4,1,1,95.0,6500.0,68.421,3,2,nam từ liêm,hà nội
35600449,20230101,12,1,1,98.0,5800.0,59.184,2,2,quận 7,hồ chí minh
41625598,20230101,10,1,1,98.0,6900.0,70.408,2,2,bình thạnh,hồ chí minh
41680977,20230101,100,1,1,80.0,4600.0,57.5,0,0,ngũ hành sơn,đà nẵng
42125524,20230101,51,1,1,48.0,5950.0,123.958,2,4,long biên,hà nội
41644573,20230101,7,1,1,200.0,70000.0,350.0,0,0,cầu giấy,hà nội
40553951,20230101,3,1,1,97.0,5500.0,56.701,3,2,quận 9,hồ chí minh
37009746,20230101,10,1,2,80.0,8.9,0.111,2,1,bình thạnh,hồ chí minh
42139063,20230101,3,1,2,55.0,7.7,0.14,2,1,quận 9,hồ chí minh
42102746,20230101,87,1,2,330.0,33.0,0.1,0,0,quận 11,hồ chí minh
40690064,20230101,1,1,2,100.0,150.0,1.5,0,0,quận 1,hồ chí minh
19207024,20230101,10,1,2,700.0,308.7,0.441,0,17,bình thạnh,hồ chí minh
40568938,20230101,3,1,1,79.0,4500.0,56.962,0,0,quận 9,hồ chí minh
41708644,20230101,3,1,1,160.0,12000.0,75.0,4,4,quận 9,hồ chí minh
42122459,20230101,7,1,1,47.0,11000.0,234.043,11,11,cầu giấy,hà nội
41535624,20230101,26,1,1,65.0,10000.0,153.846,4,3,gò vấp,hồ chí minh
40441104,20230102,41,1,1,650.9,4800.0,7.374,0,0,bà rịa,bà rịa vũng tàu
42100599,20230102,29,1,2,35.0,4.0,0.114,0,0,quận 12,hồ chí minh
42113577,20230102,7,1,1,110.0,7300.0,66.364,3,2,cầu giấy,hà nội
42120283,20230102,3,1,1,47.0,1900.0,40.426,1,1,quận 9,hồ chí minh
27915499,20230102,21,1,2,80.0,27.0,0.338,2,1,quận 4,hồ chí minh
34163593,20230102,195,1,1,2014.0,7100.0,3.525,0,0,la gi,bình thuận
42142403,20230102,23,1,1,74.0,4400.0,59.459,2,2,hoàng mai,hà nội
42108725,20230102,12,1,1,57.0,6500.0,114.035,3,3,quận 7,hồ chí minh
40935217,20230102,16,1,1,26.0,711.0,27.346,1,1,quận 2,hồ chí minh
42140378,20230102,12,1,1,120.0,22500.0,187.5,4,3,quận 7,hồ chí minh
42103808,20230102,4,1,2,100.0,15.0,0.15,0,1,nam từ liêm,hà nội
41587431,20230102,4,1,2,75.0,15.0,0.2,2,0,nam từ liêm,hà nội
22089680,20230102,16,1,2,70.0,20.0,0.286,2,2,quận 2,hồ chí minh
42040185,20230102,38,1,2,100.0,27.0,0.27,5,4,bình chánh,hồ chí minh
38368689,20230102,13,1,1,150.0,43000.0,286.667,10,10,quận 10,hồ chí minh
41646761,20230102,3,1,1,91.5,6300.0,68.852,0,0,quận 9,hồ chí minh
39705686,20230102,43,1,1,246.0,9500.0,38.618,0,0,thủ dầu một,bình dương
40807843,20230102,12,1,1,352.5,148000.0,419.858,4,5,quận 7,hồ chí minh
42141572,20230102,32,1,2,27.0,4.5,0.167,1,1,tân phú,hồ chí minh
31812321,20230102,16,1,2,69.0,11.0,0.159,2,1,quận 2,hồ chí minh
42084490,20230102,104,1,2,225.0,50.0,0.222,0,1,châu đức,bà rịa vũng tàu
39087966,20230102,20,1,2,25.0,3.75,0.15,1,1,hà đông,hà nội
42098616,20230102,34,1,2,300.0,22.5,0.075,0,0,bắc từ liêm,hà nội
39479748,20230102,110,1,1,97.22,1350.0,13.886,0,0,diên khánh,khánh hòa
39600232,20230102,14,1,2,88.0,80.0,0.909,0,0,phú nhuận,hồ chí minh
41958566,20230102,12,1,2,37.0,8.0,0.216,1,1,quận 7,hồ chí minh
42065596,20230102,54,1,1,105.0,8300.0,79.048,2,5,mê linh,hà nội
42109488,20230102,57,1,1,81.0,3150.0,38.889,2,1,nha trang,khánh hòa
41849881,20230102,45,1,1,54.0,7200.0,133.333,0,0,văn giang,hưng yên
41926214,20230102,85,1,1,100.0,27000.0,270.0,7,7,sơn trà,đà nẵng
42109822,20230102,15,1,1,170.0,25500.0,150.0,0,0,tây hồ,hà nội
42065291,20230102,17,1,1,44.0,3650.0,82.955,3,3,bình tân,hồ chí minh
40782883,20230102,10,1,2,10.0,4.5,0.45,0,0,bình thạnh,hồ chí minh
42041276,20230102,85,1,1,85.1,5100.0,59.929,3,2,sơn trà,đà nẵng
41842005,20230102,16,1,2,112.0,75.0,0.67,6,6,quận 2,hồ chí minh
39834612,20230102,1,1,1,70.0,25000.0,357.143,0,0,quận 1,hồ chí minh
41637489,20230102,51,1,1,40.0,8200.0,205.0,3,3,long biên,hà nội
42137296,20230102,66,1,2,70.0,10.0,0.143,2,2,quận 6,hồ chí minh
42109027,20230102,268,1,1,1000.0,850.0,0.85,0,0,xuân lộc,đồng nai
40527218,20230102,42,1,1,160.9,1930.0,11.995,0,0,long đất,bà rịa vũng tàu
34000721,20230102,15,1,2,100.0,23.0,0.23,2,2,tây hồ,hà nội
42108853,20230102,41,1,1,265.0,3700.0,13.962,0,0,bà rịa,bà rịa vũng tàu
41986834,20230102,26,1,2,100.0,17.0,0.17,3,2,gò vấp,hồ chí minh
42126412,20230102,53,1,1,67.0,14500.0,216.418,0,0,thanh trì,hà nội
41838628,20230102,25,1,1,38.0,6700.0,176.316,3,0,thanh xuân,hà nội
41491442,20230102,18,1,2,150.0,51.00000000000001,0.34,0,0,quận 3,hồ chí minh
42015744,20230102,66,1,2,70.0,10.0,0.143,2,2,quận 6,hồ chí minh
42113294,20230102,18,1,2,30.0,6.8,0.227,1,1,quận 3,hồ chí minh
42103997,20230102,25,1,1,130.0,89000.0,684.615,0,0,thanh xuân,hà nội
42108286,20230102,34,1,1,38.0,7500.0,197.368,4,5,bắc từ liêm,hà nội
36418087,20230103,71,1,2,250.0,12.0,0.048,0,2,lê chân,hải phòng
27340304,20230103,10,1,1,158.0,13500.0,85.443,4,3,bình thạnh,hồ chí minh
42105292,20230103,51,1,1,63.0,15000.0,238.095,4,5,long biên,hà nội
42100241,20230103,16,1,2,180.0,36.0,0.2,0,1,quận 2,hồ chí minh
