property_id,time_id,location_id,type_id,trans_id,area,price_million,price_per_m2,bedrooms_num,bathrooms_num
42131530,20240321,1,1,2,110.0,26.0,0.236,3,2
42128873,20250508,2,1,2,320.0,220.0,0.688,0,0
41836809,20250802,1,1,2,121.0,28.0,0.231,3,2
42025046,20250221,3,1,2,48.0,5.0,0.104,1,0
40598049,20250221,3,1,2,69.0,6.5,0.094,2,2
41339741,20250131,3,1,2,34.0,4.0,0.118,1,1
42118094,20240220,1,1,2,118.0,40.0,0.339,3,2
41761147,20251221,1,1,2,145.0,55.0,0.379,0,2
42097617,20231205,3,1,2,10.0,3.1,0.31,1,1
40892173,20230906,3,1,2,10.0,3.0,0.3,1,1
42113576,20251112,4,1,2,210.0,67.2,0.32,0,2
40080472,20250927,5,1,2,55.0,5.5,0.1,2,1
42110892,20241014,6,1,2,60.0,35.0,0.583,0,0
41017255,20250312,7,1,2,245.0,45.0,0.184,0,1
42109750,20231104,4,1,2,32.0,6.0,0.188,1,1
41933703,20230326,8,1,2,57.0,11.0,0.193,1,1
42108648,20241207,9,1,2,30.0,5.0,0.167,1,1
42105564,20241204,5,1,2,55.0,5.0,0.091,2,1
42095663,20241101,10,1,2,86.0,18.0,0.209,2,2
42105324,20230709,11,1,2,10.0,2.3,0.23,1,1
42094557,20241110,7,1,2,140.0,260.0,1.857,0,0
35670559,20240309,12,1,2,70.0,14.0,0.2,2,2
42099686,20241006,10,1,2,115.0,30.0,0.261,3,2
42099283,20230101,10,1,2,86.0,18.0,0.209,0,0
42089767,20230918,4,1,2,34.0,6.0,0.176,1,1
42098169,20250725,3,1,2,47.0,5.0,0.106,1,1
42097191,20250503,3,1,2,10.0,2.9,0.29,1,1
42097039,20240904,13,1,2,200.0,35.0,0.175,4,3
41111280,20250103,4,1,2,48.0,8.5,0.177,1,1
42079256,20240604,8,1,2,25.0,6.5,0.26,1,1
41817280,20230825,14,1,2,264.0,36.0,0.136,4,4
42087496,20230406,15,1,2,75.0,20.0,0.267,2,3
41388608,20250809,16,1,2,140.0,35.0,0.25,3,2
27238999,20240523,6,1,2,35.0,4.5,0.129,1,0
40899023,20230415,17,1,2,56.0,6.5,0.116,2,1
38710646,20230620,16,1,2,139.0,36.5,0.263,3,2
42140691,20241225,18,1,2,60.0,14.0,0.233,2,1
41781996,20230915,5,1,2,43.0,5.0,0.116,1,1
42141900,20230722,7,1,2,60.0,50.0,0.833,0,0
42114509,20251025,19,1,2,320.0,35.0,0.109,4,4
41705604,20240407,16,1,2,70.0,32.0,0.457,2,2
35649175,20240617,16,1,2,75.0,16.0,0.213,2,2
41651543,20230905,20,1,2,80.0,20.0,0.25,0,0
42141013,20250119,16,1,2,76.0,15.0,0.197,2,2
42133215,20240818,7,1,2,70.0,19.0,0.271,2,2
42139494,20240716,21,1,2,85.0,23.0,0.271,2,2
41598901,20240405,13,1,2,61.0,16.5,0.27,2,1
42138252,20250903,20,1,2,100.0,25.0,0.25,0,0
40507686,20250917,22,1,2,60.0,15.0,0.25,1,2
42123869,20240504,1,1,2,85.0,19.0,0.224,2,2
37656036,20240717,23,1,2,35.0,5.0,0.143,0,0
41504422,20240228,7,1,2,80.0,18.0,0.225,2,2
40041316,20250404,16,1,2,75.0,15.0,0.2,2,2
42090791,20250219,24,1,2,200.0,49.0,0.245,0,0
40371617,20231025,4,1,2,100.0,20.0,0.2,0,1
41616652,20230528,25,1,2,180.0,30.0,0.167,0,0
41975202,20231202,21,1,2,68.0,16.0,0.235,2,2
41197521,20250127,16,1,2,64.0,22.0,0.344,1,1
36155038,20241013,1,1,2,78.0,22.0,0.282,2,2
38772585,20230112,15,1,2,45.0,9.99,0.222,1,1
41204758,20230221,17,1,2,56.0,7.0,0.125,2,1
41191773,20250530,16,1,2,51.0,13.5,0.265,1,1
40740272,20230623,13,1,2,35.0,11.0,0.314,1,1
6602693,20230112,10,1,2,70.0,15.4,0.22,0,0
4957818,20230108,2,1,2,50.0,10.0,0.2,0,0
6028192,20240220,1,1,2,50.0,12.5,0.25,0,0
7847249,20240515,18,1,2,70.0,17.5,0.25,0,0
41178850,20241219,10,1,2,85.0,18.0,0.212,2,2
41010945,20250408,12,1,2,68.0,11.0,0.162,2,2
42083205,20251017,12,1,2,54.0,9.0,0.167,0,0
42132611,20240206,10,1,2,160.0,23.9,0.149,3,4
41251028,20241128,26,1,2,22.0,5.0,0.227,0,1
42132467,20231218,27,1,2,51.0,6.0,0.118,1,1
42132369,20241223,1,1,2,60.0,10.0,0.167,2,1
42131787,20250508,8,1,2,120.0,17.0,0.142,3,0
42131754,20250903,25,1,2,256.0,89.6,0.35,0,0
42119192,20240425,17,1,2,75.0,7.5,0.1,2,2
37094839,20240410,5,1,2,68.0,5.0,0.074,2,2
41714585,20250122,17,1,2,75.0,7.5,0.1,2,2
40939969,20230804,28,1,2,2000.0,70.0,0.035,0,0
42126587,20230320,4,1,2,32.0,7.0,0.219,1,1
41638849,20241226,16,1,2,73.0,17.0,0.233,2,2
39974357,20251120,4,1,2,125.0,30.0,0.24,0,2
42129573,20250130,2,1,2,60.0,8.0,0.133,0,0
40646042,20231105,20,1,2,60.0,6.0,0.1,0,0
41080102,20231020,16,1,2,52.0,17.0,0.327,1,1
41587121,20230123,16,1,2,76.0,14.0,0.184,2,2
42125771,20240422,17,1,2,50.0,7.5,0.15,1,1
42125103,20231211,13,1,2,87.0,19.0,0.218,2,2
42125092,20231104,3,1,2,59.0,6.0,0.102,2,2
40770116,20230201,29,1,2,67.0,7.0,0.104,2,2
37843199,20250831,16,1,2,76.0,14.0,0.184,2,2
34270339,20250609,1,1,2,85.0,18.0,0.212,2,2
42124111,20250223,11,1,2,71.0,28.0,0.394,4,6
39269040,20250521,12,1,2,71.0,10.0,0.141,2,1
42112927,20230522,1,1,2,50.0,22.0,0.44,1,0
41688614,20250828,15,1,2,45.0,18.0,0.4,1,1
30361507,20240318,30,1,2,75.0,7.5,0.1,2,2
26284503,20230913,24,1,2,56.0,7.0,0.125,2,1
42120471,20241109,8,1,2,75.0,12.0,0.16,0,0
41583449,20250625,12,1,2,54.0,8.5,0.157,1,1
41788376,20250127,10,1,2,169.0,67.431,0.399,0,2
40800800,20251030,10,1,2,3100.0,719.2,0.232,0,13
42119474,20240604,1,1,2,30.0,7.5,0.25,1,1
40407187,20240118,3,1,2,60.0,6.0,0.1,1,1
37143155,20240821,31,1,2,16.0,3.8,0.237,0,0
42092124,20230825,8,1,2,90.0,13.0,0.144,2,2
42117172,20250730,7,1,2,220.0,43.0,0.195,0,0
40488202,20250422,14,1,2,250.0,68.0,0.272,0,4
40078321,20250510,16,1,2,77.0,28.0,0.364,2,2
42116747,20230801,25,1,2,100.0,17.8,0.178,0,0
40370439,20240407,11,1,2,10.0,2.7,0.27,0,0
41376284,20250226,11,1,2,10.0,2.5,0.25,1,1
41376559,20240327,11,1,2,12.0,2.4,0.2,0,0
39446514,20240703,26,1,2,30.0,5.0,0.167,0,1
42115809,20230401,8,1,2,83.0,13.5,0.163,2,2
36302761,20240914,10,1,2,85.0,18.5,0.218,2,2
38925927,20241012,1,1,2,83.0,18.0,0.217,2,2
41944012,20250717,3,1,2,30.0,4.5,0.15,1,1
39240133,20251217,21,1,2,80.0,17.0,0.212,2,2
39621891,20241105,16,1,2,51.0,12.0,0.235,1,1
42113498,20230610,5,1,2,30.0,6.5,0.217,1,1
40249339,20251230,16,1,2,88.0,20.0,0.227,2,2
40051114,20240109,32,1,2,49.0,7.0,0.143,1,1
42100033,20240227,25,1,2,405.0,177.1875,0.438,0,0
40295312,20250104,4,1,2,28.0,6.0,0.214,1,1
41713089,20230201,16,1,2,52.0,18.0,0.346,1,1
39873763,20240804,1,1,2,110.0,35.0,0.318,3,2
42101846,20230113,25,1,2,40.0,25.0,0.625,3,4
42104707,20250615,16,1,2,35.0,7.0,0.2,0,0
42103713,20230319,16,1,2,75.0,17.0,0.227,2,2
40524828,20250421,4,1,2,24.0,5.0,0.208,1,0
39395299,20240417,26,1,2,78.0,12.0,0.154,2,2
42101046,20240210,1,1,2,68.7,15.0,0.218,0,0
42015116,20250407,33,1,2,127000.0,19177.0,0.151,0,0
41835729,20230706,7,1,2,38.0,14.0,0.368,1,1
42099606,20251012,7,1,2,70.0,14.0,0.2,2,2
41924771,20240807,34,1,2,280.0,80.0,0.286,0,0
38427406,20230913,13,1,2,90.0,20.0,0.222,2,2
42024369,20231008,24,1,2,4007.0,310.0,0.077,0,0
40081133,20241002,12,1,2,56.0,13.0,0.232,1,1
42096892,20241121,24,1,2,119.0,15.0,0.126,2,3
42096801,20240926,35,1,2,33.0,19.0,0.576,2,3
42096136,20250904,8,1,2,50.0,25.0,0.5,0,0
42096587,20250901,8,1,2,16.0,4.8,0.3,1,1
40555496,20240518,12,1,2,10.0,3.0,0.3,0,0
42095460,20241105,36,1,2,55.0,8.0,0.145,0,1
41247556,20241118,8,1,2,220.0,250.0,1.136,0,0
40371771,20240314,7,1,2,160.0,29.0,0.181,0,0
40955319,20241123,7,1,2,200.0,40.0,0.2,0,0
36237787,20230729,15,1,2,120.0,38.4,0.32,0,0
42093736,20241011,26,1,2,22.0,4.6,0.209,1,1
42090433,20231113,4,1,2,80.0,20.0,0.25,0,0
41468417,20240319,20,1,2,144.0,10.0,0.069,0,0
42062765,20240316,17,1,2,700.0,60.0,0.086,0,2
41972910,20250330,10,1,2,87.0,31.059,0.357,0,0
41490455,20230503,5,1,2,60.0,10.0,0.167,2,2
41585343,20230112,4,1,2,60.0,10.0,0.167,2,1
42089120,20251231,7,1,2,28.0,5.8,0.207,0,0
41874945,20230311,37,1,2,200.0,185.0,0.925,0,0
41582319,20241219,25,1,2,25.0,5.5,0.22,1,1
42087380,20240331,26,1,2,100.0,22.0,0.22,4,3
42039095,20240313,20,1,2,35.0,2.5,0.071,1,1
35639196,20240706,10,1,2,86.0,17.0,0.198,2,2
41740879,20241021,3,1,2,100.0,20.0,0.2,4,4
40875019,20231214,10,1,2,89.0,17.0,0.191,2,2
41775649,20231006,13,1,2,107.0,27.0,0.252,3,2
41707436,20240423,15,1,2,145.0,85.0,0.586,3,3
42143999,20240221,16,1,2,170.0,100.0,0.588,6,5
